AS0     -Reserved AS-
AS5589  MUNBANK-AS Novosibirsk Municipal bank
AS5591  MARTELCOM-AS OJSC Rostelecom
AS5592  CONCOM-AS ConCom Ltd (Kharkov, Ukraine)
AS5593  CRIS-AS Crimean Internet Service
AS5594  LHSYSHU Lufthansa Systems Hungaria
AS5595  Netway AG
AS5596  TMH T-Mobile Hungary Telecommunications Company Limited by Shares
AS5597  INTENSIVE Business Serve plc
AS5598  NETLUX-AS Teleradiocompany Nadezhda Ltd
AS5599  UUNET-DK Verizon Denmark A/S
AS5600  TCPNET-AS Total Connectivity Providers Ltd
AS5601  Kungliga Tekniska Hogskolan
AS5602  KPNQwest Italia S.p.a
AS5603  SIOL-NET Telekom Slovenije d.d.
AS5604  FREEDOMTOSURF PIPEX Communications (Freedom2surf)
AS5605  NETUSE NetUSE AG
AS5606  KQRO GTS Telecom SRL
AS5607  BSKYB-BROADBAND-AS British Sky Broadcasting Limited
AS5608  FVNN ForthView.Net
AS5609  ASN-CSELT  # AS-CSELT CONVERTED TO ASN-CSELT FOR RPSL COMPLIANCE TELECOM ITALIA SPA
AS5610  TO2-CZECH-REPUBLIC Telefonica Czech Republic, a.s.
AS5612  HNHW8-AS Handelsweg8.nl
AS5613  DUBAIMERC-AE Dubai Mercantile Exchange
AS5614  UUNET PIPEX UK MSN and DIAL AS
AS5615  TISNL-BACKBONE Koninklijke KPN N.V.
AS5616  MEDIATEL-AS Elterix S.A.
AS5617  TPNET Telekomunikacja Polska S.A.
AS5618  DPI DP IRAN
AS5619  ERGO EVRY AS
AS5620  ADRIAMEDIA-AS Adria Media ZAGREB d.o.o.
AS5621  Verizon Nederland B.V.
AS5622  Thomson Corporation Switzerland AG
AS5623  ATT-EMEA Autonomous System
AS5624  CSC Danmark A/S
AS5626  ONI ONITELECOM - Infocomunicacoes S.A.
AS5627  WWL Internet GmbH Stuttgart
AS5628  EUROTEL-SK Slovak Telecom, a. s.
AS5629  GRAL GRAL's AS Number
AS5630  AS_AWL-DE Atos Worldline SAS
AS5631  VITAL-GROUP VITAL-GROUP UK Network
AS5632  CRONOS-CAPITAL - Cronos
AS5633  Internet Online S.A. de C.V.
AS5634  MILESTONE - Milestone Research and Development Labs Inc.
AS5635  GLAXOSMITHKLINE - GlaxoSmithKline
AS5636  LISTING - NetWork Access
AS5637  SAF-HOLLAND - SAF HOLLAND INC.
AS5638  BREWER-SCIENCE - Brewer Science
AS5639  Telecommunication Services of Trinidad and Tobago
AS5640  NCSA-VBNS-EX - National Center for Supercomputing Applications
AS5641  DATAPOINTINC-5641 - DataPoint
AS5642  ASHDOWN-TECH - Ashdown Technologies, Inc.
AS5643  SILKROAD-US - The Silk Road Group, Ltd.
AS5644  ASN-USA - USAinternet, Inc.
AS5645  TEKSAVVY-TOR TekSavvy Solutions Inc. Toronto
AS5646  NN-CNSM - NAP.NET, LLC
AS5647  ASN-KODAK - Eastman Kodak Company
AS5648  Satlink S.A.
AS5649  KEVNET-ASN - Kevin Communication Services
AS5650  FRONTIER-FRTR - Frontier Communications of America, Inc.
AS5651  DESTEK - Friends of Synergytics
AS5652  IN-NET - INTERNET Indiana
AS5653  UCSF - University of California San Francisco
AS5654  TISHNET - The Information SuperHighway Corp
AS5655  DECADE-DOM - Decade Communications
AS5656  ACCESSUS-DOM - accessU.S./BASENet
AS5657  NOVAIAC-ASN - FC Business Systems
AS5658  CCE-NET - Coca-Cola Enterprises
AS5659  VIVANET - Vivanet Inc.
AS5660  JCI-NET - Johnson Control
AS5661  USF - UNIVERSITY OF SOUTH FLORIDA
AS5662  ASN-TBS-1 - Turner Broadcasting
AS5663  EDCNET - US Geological Survery
AS5664  SHERIDAN-NET - Sheridan College
AS5665  DELMARVA-ASN - Delmarva Power & Light Company
AS5666  NET-CPRK - Harris CapRock Communications, Inc.
AS5667  FASTNET2-ASN - You Tools Corporation/FastNet
AS5668  AS-5668 - CenturyTel Internet Holdings, Inc.
AS5669  VIA-NET-WORKS-AS PSINet Europe / VIA NET.WORKS international AS
AS5670  MONTEREY - Monterey Bay Internet
AS5671  PBI-NET-BLK - AT&T Internet Services
AS5672  PBI-NET-BLK - AT&T Internet Services
AS5673  PBI-NET-BLK - AT&T Internet Services
AS5674  PBI-NET-BLK - AT&T Internet Services
AS5675  PBI-NET-BLK - AT&T Internet Services
AS5676  PBI-NET-BLK - AT&T Internet Services
AS5677  PBI-NET-BLK - AT&T Internet Services
AS5678  PBI-NET-BLK - AT&T Internet Services
AS5679  PBI-NET-BLK - AT&T Internet Services
AS5680  PBI-NET-BLK - AT&T Internet Services
AS5681  PBI-NET-BLK - AT&T Internet Services
AS5682  NETONE - Online Network Enterprises
AS5683  MCBB - Mad City Broadband, Inc.
AS5684  GANNETT-NET - Gannett Company, Inc.
AS5685  DRANET-NORTH - Data Research Associates, Inc.
AS5686  AOL-5686 - CompuServe Interactive Services, Inc
AS5687  AA-NET - Alternate Access Inc.
AS5688  PRIMUS-AS5688 - Primus Telecommunications Canada Inc.
AS5689  HOOSIERNET - HoosierNet, Inc.
AS5690  VIANET-NO - Via Computer and Communications (ViaNet)
AS5691  MITRE-AS-5 - The MITRE Corporation
AS5692  Universidad Nacional de La Plata
AS5693  LATISYS-IRVINE - Latisys-Irvine, LLC
AS5694  UNIFIED-NET - Blue Cross Blue Shield Association
AS5695  MAILROOM-NT - Allen Bradley Inc.
AS5696  EXPRES - Express Scripts Incorporated
AS5697  SG-INTER - Interliant
AS5698  NETPUB-AS - Network Publishing, Inc.
AS5699  ASN-AHRCNYC - AHRC New York City
AS5700  XL-NET - MISHA, Inc.
AS5701  HEALTH-ONE - HealthOne
AS5702  GALAXY - Galaxy Networks (division of Kolacom, Inc.)
AS5703  TIGERFUND - Tiger Management Coporation
AS5704  CARIBE-NET - Caribbean Internet Service, Corp.
AS5705  COLUMBIA-CREDIT-UNION - Columbia Community Credit Union
AS5706  DEERFIELDROUTERS - PC Quote, Inc.
AS5707  UTHSC-H - The University of Texas Health Science Center at Houston
AS5708  Universidad Autonoma de Guerrero
AS5709  ERX-KMB-1 Kiwifruit Marketing Board
AS5710  NBTBA-ASN - NBT BANCORP INC.
AS5711  CYBER2 - CyberStream Information Services, Inc.
AS5712  RCN-AS4 - RCN
AS5713  SAIX-NET
AS5714  HPES - Hewlett-Packard Company
AS5715  ONVOY-CO - Onvoy
AS5716  CYBERCOM - Cyber Access Internet Communications, Inc.
AS5717  IWIN-NET - World Information Network, Inc.
AS5718  MECNET - Merrimack Education Center
AS5719  SUNYSB - SUNY at Stony Brook
AS5720  ASTSOFT - Advanced Software Technology
AS5721  NDU-NET - National Defense University
AS5722  Universidad Nacional de Colombia
AS5723  JHU - Johns Hopkins University
AS5724  UMASSMED - University of Massachusetts Medical School
AS5725  XO - XO Communications
AS5726  INTERWORLD - InterWorld Communications, Inc.
AS5727  WORLDNET-0 - AT&T Services, Inc.
AS5728  WORLDNET1 - AT&T Services, Inc.
AS5729  WORLDNET2 - AT&T Services, Inc.
AS5730  WORLDNET3 - AT&T Services, Inc.
AS5731  5731 - AT&T Services, Inc.
AS5732  ACCESINDIANA - Sprint, Sprintlink Engineering
AS5733  MONRO-1 - Monroe County
AS5734  TIENET
AS5735  GALT-TECHNO - Galt Technologies
AS5736  VEL-AS - Velocity Networks, Inc.
AS5737  QWEST-AS-5737 - Qwest Corporation
AS5738  SOVER-ASN - SoVerNet, Inc.
AS5739  UCSC - University of California, Santa Cruz
AS5740  WORKFORCE-AS WorkForce Software AS5740
AS5741  TRIAD-LVK - Triad Systems Corporation
AS5742  CCINET - Consolidated Communications, Inc.
AS5743  ASN-VFPA - Port Metro Vancouver
AS5744  USPTO - United States Patent and Trademark Office
AS5745  Organizacion Panamericana de la Salud
AS5746  CELESTAR-ASN - Celestar
AS5747  ASN-RISQ-QIX - Reseau d'Informations Scientifiques du Quebec (RISQ) Inc.
AS5748  BBNET - BB-Net, Inc.
AS5749  RP - Peets Coffee & Tea
AS5750  FLEXNET-HAWAII - FlexNet Inc.
AS5751  SYTEX - Sytex Access Ltd.
AS5752  GREATBASIN - Great Basin Internet Services, Inc
AS5753  EMPAC-DOM - EMPaC International Corp.
AS5754  PIXINET1 - Pacific Information Exchange, Inc.
AS5755  QNETIX-AS - Qnetix Computer Consultants Inc.
AS5756  POINTCAST - Pointcast Inc.
AS5757  GPC-ASN - General Physics Corporation
AS5758  ALPHACOMM - ALPHA ENTERPRISES LIMITED, INC.
AS5759  RAINSTORM - Storm Network Systems, LLC
AS5760  BIDDEFORD1 - Biddeford Internet Corp
AS5761  MICROSOFT-CORP-MSN-AS-SATURN - Microsoft Corporation
AS5762  NETMAG - Magnet Interactive Studios
AS5763  TRI-DEV-GRP - Trilogy, Inc.
AS5764  CONVOKE Convoke Communications Corp.
AS5765  TELUS-AS-5765 - TELUS Communications Inc.
AS5766  IHS-MD-AS - Indian Health Service
AS5767  INFINITY - Infinity AccessNET
AS5768  ICANECT - ICANECT
AS5769  VIDEOTRON - Videotron Telecom Ltee
AS5770  EMPLINK-AS - EMPaC International Corp.
AS5771  ALSK-5771 - Alaska Communications Systems Group, Inc.
AS5772  Unisys Brasil Ltda.
AS5773  LAMBEAU-TELECOM-COMPANY-LLC - Lambeau Telecom Company LLC
AS5774  USPS-001 - United States Postal Service.
AS5775  DIVERS-ALERT-NETWORK - Divers Alert Network, Inc
AS5776  WORLDWEB - World Web Limited
AS5777  ASN1 - GENBAND Inc.
AS5778  EMBARQ-RCMT - Embarq Corporation
AS5779  Y-BR-SERV - Yahoo! Broadcast Services, Inc.
AS5780  GIGASD3 - Giga Information Group
AS5781  CSI-GATEWAY-2 - Connectivity Solutions, Inc.
AS5782  EXTREMES - Digital Extremes, Inc.
AS5783  KCSOS-NET - Kern County Superintendent of Schools
AS5784  GETNET - Getnet International
AS5785  DCPS-DC-AS - DC Public Schools
AS5786  UPRENET - University of Puerto Rico
AS5787  SNAPONSBS - Snap-on Business Solutions Inc.
AS5788  HSSBC-PRIMARY - Vancouver Coastal Health
AS5789  EZNET - E-Znet Incorporated
AS5790  NETMARKET - CUC INTERNATIONAL
AS5791  CSI-GATEWAY-1 - Connectivity Solutions, Inc.
AS5792  SIMPLE-NET - Simple Access
AS5793  PENTELEDATA-2 - PenTeleData Inc.
AS5794  NWREGION-ESD - Northwest Regional ESD
AS5795  THOMSON-REUTERS-US-INC - Thomson Reuters U.S. LLC
AS5796  COMET - Metronetics
AS5797  CISPROD-AS - CheckFree Corporation
AS5798  SUPERLATIVE - Superlative, Inc.
AS5799  IGCNET - Internet Gateway Connections, Inc.
AS5800  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5801  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5802  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5803  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5804  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5805  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5806  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5807  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5808  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5809  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5810  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5811  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5812  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5813  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5814  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5815  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5816  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5817  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5818  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5819  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5820  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5821  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5822  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5823  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5824  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5825  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5826  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5827  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5828  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5829  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5830  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5831  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5832  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5833  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5834  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5835  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5836  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5837  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5838  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5839  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5840  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5841  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5842  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5843  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5844  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5845  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5846  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5847  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5848  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5849  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5850  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5851  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5852  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5853  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5854  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5855  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5856  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5857  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5858  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5859  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5860  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5861  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5862  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5863  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5864  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5865  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5866  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5867  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5868  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5869  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5870  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5871  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5872  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5873  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5874  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5875  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5876  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5877  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5878  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5879  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5880  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5881  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5882  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5883  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5884  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5885  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5886  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5887  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5888  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5889  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5890  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5891  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5892  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5893  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5894  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5895  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5896  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5897  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5898  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5899  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5900  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5901  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5902  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5903  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5904  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5905  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5906  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5907  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5908  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5909  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5910  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5911  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5912  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5913  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5914  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5915  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5916  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5917  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5918  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5919  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5920  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5921  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5922  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5923  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5924  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5925  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5926  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5927  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5928  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5929  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5930  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5931  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5932  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5933  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5934  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5935  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5936  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5937  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5938  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5939  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5940  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5941  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5942  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5943  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5944  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5945  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5946  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5947  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5948  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5949  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5950  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5951  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5952  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5953  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5954  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5955  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5956  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5957  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5958  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5959  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5960  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5961  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5962  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5963  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5964  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5965  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5966  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5967  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5968  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5969  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5970  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5971  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5972  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5973  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5974  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5975  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5976  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5977  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5978  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5979  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5980  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5981  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5982  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5983  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5984  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5985  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5986  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5987  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5988  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5989  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5990  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5991  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5992  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5993  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5994  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5995  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5996  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5997  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5998  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS5999  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6000  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6001  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6002  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6003  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6004  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6005  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6006  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6007  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6008  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6009  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6010  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6011  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6012  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6013  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6014  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6015  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6016  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6017  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6018  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6019  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6020  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6021  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6022  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6023  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6024  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6025  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6026  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6027  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6028  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6029  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6030  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6031  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6032  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6033  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6034  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6035  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6036  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6037  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6038  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6039  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6040  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6041  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6042  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6043  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6044  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6045  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6046  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6047  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6048  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6049  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6050  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6051  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6052  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6053  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6054  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6055  DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS6056  COLBY - Colby College
AS6057  Administracion Nacional de Telecomunicaciones
AS6058  NORTHWESTEL-INC - Northwestel Inc.
AS6059  UMS2-ASN - University of Maryland
AS6060  MAGI-NET-GW - Management Alliance Group Inc.
AS6061  ANTHION-MANAGEMENT - Anthion Management, LLC
AS6062  NETPLEX - NETPLEX
AS6063  Internet Corporativo, S.A. de C.V.
AS6065  Terra Networks Mexico, S.A. de C.V.
